wardname,lganame,statename
Bela Rawaiya,Bungudu,Zamfara
Bela Rawaiya,Bungudu,Zamfara
Bungudu,Bungudu,Zamfara
Bela Rawaiya,Bungudu,Zamfara
Bela Rawaiya,Bungudu,Zamfara
Bela Rawaiya,Bungudu,Zamfara
Kyambarawa,Kaura Namoda,Zamfara
Bela Rawaiya,Bungudu,Zamfara
Bela Rawaiya,Bungudu,Zamfara
Bela Rawaiya,Bungudu,Zamfara
Bela Rawaiya,Bungudu,Zamfara
Kyambarawa,Kaura Namoda,Zamfara
Bela Rawaiya,Bungudu,Zamfara
Kyambarawa,Kaura Namoda,Zamfara
Bela Rawaiya,Bungudu,Zamfara
Bela Rawaiya,Bungudu,Zamfara
Kyambarawa,Kaura Namoda,Zamfara
Kyambarawa,Kaura Namoda,Zamfara
Bela Rawaiya,Bungudu,Zamfara
Bela Rawaiya,Bungudu,Zamfara
Kyambarawa,Kaura Namoda,Zamfara
Bela Rawaiya,Bungudu,Zamfara
Bela Rawaiya,Bungudu,Zamfara
Kyambarawa,Kaura Namoda,Zamfara
Bela Rawaiya,Bungudu,Zamfara
Kyambarawa,Kaura Namoda,Zamfara
Bela Rawaiya,Bungudu,Zamfara
Bela Rawaiya,Bungudu,Zamfara
Bela Rawaiya,Bungudu,Zamfara
Bela Rawaiya,Bungudu,Zamfara
Bela Rawaiya,Bungudu,Zamfara
Bela Rawaiya,Bungudu,Zamfara
Bela Rawaiya,Bungudu,Zamfara
Bela Rawaiya,Bungudu,Zamfara
Bela Rawaiya,Bungudu,Zamfara
Bela Rawaiya,Bungudu,Zamfara
Bela Rawaiya,Bungudu,Zamfara
Bela Rawaiya,Bungudu,Zamfara
Bela Rawaiya,Bungudu,Zamfara
Bela Rawaiya,Bungudu,Zamfara
Bela Rawaiya,Bungudu,Zamfara
Bela Rawaiya,Bungudu,Zamfara
Bela Rawaiya,Bungudu,Zamfara
Bela Rawaiya,Bungudu,Zamfara
Bela Rawaiya,Bungudu,Zamfara
Bela Rawaiya,Bungudu,Zamfara
Bela Rawaiya,Bungudu,Zamfara
Bela Rawaiya,Bungudu,Zamfara
Bela Rawaiya,Bungudu,Zamfara
Bela Rawaiya,Bungudu,Zamfara
Bela Rawaiya,Bungudu,Zamfara
Samawa,Bungudu,Zamfara
Bela Rawaiya,Bungudu,Zamfara
Samawa,Bungudu,Zamfara
Samawa,Bungudu,Zamfara
Bela Rawaiya,Bungudu,Zamfara
Samawa,Bungudu,Zamfara
Samawa,Bungudu,Zamfara
Samawa,Bungudu,Zamfara
Bela Rawaiya,Bungudu,Zamfara
Bela Rawaiya,Bungudu,Zamfara
Bela Rawaiya,Bungudu,Zamfara
Bela Rawaiya,Bungudu,Zamfara
Bela Rawaiya,Bungudu,Zamfara
Bela Rawaiya,Bungudu,Zamfara
Bela Rawaiya,Bungudu,Zamfara
Bela Rawaiya,Bungudu,Zamfara
Bela Rawaiya,Bungudu,Zamfara
Samawa,Bungudu,Zamfara
Bela Rawaiya,Bungudu,Zamfara
Dan' Isa,Kaura Namoda,Zamfara
Dan' Isa,Kaura Namoda,Zamfara
Dan' Isa,Kaura Namoda,Zamfara
Dan' Isa,Kaura Namoda,Zamfara
Dan' Isa,Kaura Namoda,Zamfara
Dan' Isa,Kaura Namoda,Zamfara
Dan' Isa,Kaura Namoda,Zamfara
Dan' Isa,Kaura Namoda,Zamfara
Dan' Isa,Kaura Namoda,Zamfara
Dan' Isa,Kaura Namoda,Zamfara
Dan' Isa,Kaura Namoda,Zamfara
Dan' Isa,Kaura Namoda,Zamfara
Dan' Isa,Kaura Namoda,Zamfara
Dan' Isa,Kaura Namoda,Zamfara
Dan' Isa,Kaura Namoda,Zamfara
Dan' Isa,Kaura Namoda,Zamfara
Dan' Isa,Kaura Namoda,Zamfara
Dan' Isa,Kaura Namoda,Zamfara
Dan' Isa,Kaura Namoda,Zamfara
Dan' Isa,Kaura Namoda,Zamfara
Dan' Isa,Kaura Namoda,Zamfara
Dan' Isa,Kaura Namoda,Zamfara
Dan' Isa,Kaura Namoda,Zamfara
Dan' Isa,Kaura Namoda,Zamfara
Dan' Isa,Kaura Namoda,Zamfara
Dan' Isa,Kaura Namoda,Zamfara
Dan' Isa,Kaura Namoda,Zamfara
Dan' Isa,Kaura Namoda,Zamfara
Dan' Isa,Kaura Namoda,Zamfara
Dan' Isa,Kaura Namoda,Zamfara
Kyambarawa,Kaura Namoda,Zamfara
Kyambarawa,Kaura Namoda,Zamfara
Kyambarawa,Kaura Namoda,Zamfara
Kyambarawa,Kaura Namoda,Zamfara
Kyambarawa,Kaura Namoda,Zamfara
Kyambarawa,Kaura Namoda,Zamfara
Kyambarawa,Kaura Namoda,Zamfara
Kyambarawa,Kaura Namoda,Zamfara
Kyambarawa,Kaura Namoda,Zamfara
Kyambarawa,Kaura Namoda,Zamfara
Kyambarawa,Kaura Namoda,Zamfara
Kyambarawa,Kaura Namoda,Zamfara
Kyambarawa,Kaura Namoda,Zamfara
Kyambarawa,Kaura Namoda,Zamfara
Kyambarawa,Kaura Namoda,Zamfara
Kyambarawa,Kaura Namoda,Zamfara
Kyambarawa,Kaura Namoda,Zamfara
Kyambarawa,Kaura Namoda,Zamfara
Kyambarawa,Kaura Namoda,Zamfara
Kyambarawa,Kaura Namoda,Zamfara
Kyambarawa,Kaura Namoda,Zamfara
Banga,Kaura Namoda,Zamfara
Banga,Kaura Namoda,Zamfara
Kyambarawa,Kaura Namoda,Zamfara
Banga,Kaura Namoda,Zamfara
Banga,Kaura Namoda,Zamfara
Banga,Kaura Namoda,Zamfara
Banga,Kaura Namoda,Zamfara
Banga,Kaura Namoda,Zamfara
Banga,Kaura Namoda,Zamfara
Banga,Kaura Namoda,Zamfara
Banga,Kaura Namoda,Zamfara
Banga,Kaura Namoda,Zamfara
Banga,Kaura Namoda,Zamfara
Kyambarawa,Kaura Namoda,Zamfara
Banga,Kaura Namoda,Zamfara
Banga,Kaura Namoda,Zamfara
Banga,Kaura Namoda,Zamfara
Banga,Kaura Namoda,Zamfara
Banga,Kaura Namoda,Zamfara
Banga,Kaura Namoda,Zamfara
Banga,Kaura Namoda,Zamfara
Banga,Kaura Namoda,Zamfara
Banga,Kaura Namoda,Zamfara
Dan' Isa,Kaura Namoda,Zamfara
Dan' Isa,Kaura Namoda,Zamfara
Dan' Isa,Kaura Namoda,Zamfara
Dan' Isa,Kaura Namoda,Zamfara
Dan' Isa,Kaura Namoda,Zamfara
Dan' Isa,Kaura Namoda,Zamfara
Dan' Isa,Kaura Namoda,Zamfara
Dan' Isa,Kaura Namoda,Zamfara
Dan' Isa,Kaura Namoda,Zamfara
Dan' Isa,Kaura Namoda,Zamfara
Dan' Isa,Kaura Namoda,Zamfara
Madomawa West,Birnin Magaji-Kiyaw,Zamfara
Madomawa West,Birnin Magaji-Kiyaw,Zamfara
Madomawa West,Birnin Magaji-Kiyaw,Zamfara
Madomawa West,Birnin Magaji-Kiyaw,Zamfara
Madomawa West,Birnin Magaji-Kiyaw,Zamfara
Madomawa West,Birnin Magaji-Kiyaw,Zamfara
Madomawa West,Birnin Magaji-Kiyaw,Zamfara
Madomawa West,Birnin Magaji-Kiyaw,Zamfara
Wanke,Gusau,Zamfara
Rijiya,Gusau,Zamfara
Rijiya,Gusau,Zamfara
Rijiya,Gusau,Zamfara
Rijiya,Gusau,Zamfara
Rijiya,Gusau,Zamfara
Rijiya,Gusau,Zamfara
Rijiya,Gusau,Zamfara
Rijiya,Gusau,Zamfara
Rijiya,Gusau,Zamfara
Rijiya,Gusau,Zamfara
Rijiya,Gusau,Zamfara
Rijiya,Gusau,Zamfara
Rijiya,Gusau,Zamfara
Rijiya,Gusau,Zamfara
Rijiya,Gusau,Zamfara
Rijiya,Gusau,Zamfara
Rijiya,Gusau,Zamfara
Rijiya,Gusau,Zamfara
Rijiya,Gusau,Zamfara
Rijiya,Gusau,Zamfara
Rijiya,Gusau,Zamfara
Rijiya,Gusau,Zamfara
Rijiya,Gusau,Zamfara
Rijiya,Gusau,Zamfara
Rijiya,Gusau,Zamfara
Rijiya,Gusau,Zamfara
Rijiya,Gusau,Zamfara
Rijiya,Gusau,Zamfara
Rijiya,Gusau,Zamfara
Rijiya,Gusau,Zamfara
Rijiya,Gusau,Zamfara
Rijiya,Gusau,Zamfara
Rijiya,Gusau,Zamfara
Rijiya,Gusau,Zamfara
Rijiya,Gusau,Zamfara
Rijiya,Gusau,Zamfara
Rijiya,Gusau,Zamfara
Rijiya,Gusau,Zamfara
Rijiya,Gusau,Zamfara
Rijiya,Gusau,Zamfara
Rijiya,Gusau,Zamfara
Rijiya,Gusau,Zamfara
Kotorkoshi,Bungudu,Zamfara
Kotorkoshi,Bungudu,Zamfara
Kotorkoshi,Bungudu,Zamfara
Kotorkoshi,Bungudu,Zamfara
Sankalawa,Bungudu,Zamfara
Kotorkoshi,Bungudu,Zamfara
Yandoton Daji,Tsafe,Zamfara
Rijiya,Gusau,Zamfara
Rijiya,Gusau,Zamfara
Yandoton Daji,Tsafe,Zamfara
Yandoton Daji,Tsafe,Zamfara
Yandoton Daji,Tsafe,Zamfara
Yandoton Daji,Tsafe,Zamfara
Rijiya,Gusau,Zamfara
Rijiya,Gusau,Zamfara
Yandoton Daji,Tsafe,Zamfara
Yandoton Daji,Tsafe,Zamfara
Yandoton Daji,Tsafe,Zamfara
Yandoton Daji,Tsafe,Zamfara
Yandoton Daji,Tsafe,Zamfara
Yandoton Daji,Tsafe,Zamfara
Yandoton Daji,Tsafe,Zamfara
Yandoton Daji,Tsafe,Zamfara
Yandoton Daji,Tsafe,Zamfara
Tsafe Central,Tsafe,Zamfara
Yandoton Daji,Tsafe,Zamfara
Yandoton Daji,Tsafe,Zamfara
Yandoton Daji,Tsafe,Zamfara
Yandoton Daji,Tsafe,Zamfara
Yandoton Daji,Tsafe,Zamfara
Kotorkoshi,Bungudu,Zamfara
Kotorkoshi,Bungudu,Zamfara
Kotorkoshi,Bungudu,Zamfara
Kotorkoshi,Bungudu,Zamfara
Yandoton Daji,Tsafe,Zamfara
Yandoton Daji,Tsafe,Zamfara
Yandoton Daji,Tsafe,Zamfara
Yandoton Daji,Tsafe,Zamfara
Yandoton Daji,Tsafe,Zamfara
Yandoton Daji,Tsafe,Zamfara
Yandoton Daji,Tsafe,Zamfara
Kotorkoshi,Bungudu,Zamfara
Kotorkoshi,Bungudu,Zamfara
Kotorkoshi,Bungudu,Zamfara
Kotorkoshi,Bungudu,Zamfara
Kotorkoshi,Bungudu,Zamfara
Kotorkoshi,Bungudu,Zamfara
Kotorkoshi,Bungudu,Zamfara
Yandoton Daji,Tsafe,Zamfara
Kotorkoshi,Bungudu,Zamfara
Kotorkoshi,Bungudu,Zamfara
Kotorkoshi,Bungudu,Zamfara
Kotorkoshi,Bungudu,Zamfara
Kotorkoshi,Bungudu,Zamfara
Sankalawa,Bungudu,Zamfara
Sankalawa,Bungudu,Zamfara
Sankalawa,Bungudu,Zamfara
Sankalawa,Bungudu,Zamfara
Sankalawa,Bungudu,Zamfara
Sankalawa,Bungudu,Zamfara
Sankalawa,Bungudu,Zamfara
Sankalawa,Bungudu,Zamfara
Sankalawa,Bungudu,Zamfara
Sankalawa,Bungudu,Zamfara
Sankalawa,Bungudu,Zamfara
Sankalawa,Bungudu,Zamfara
Sankalawa,Bungudu,Zamfara
Sankalawa,Bungudu,Zamfara
Sankalawa,Bungudu,Zamfara
Sankalawa,Bungudu,Zamfara
Sankalawa,Bungudu,Zamfara
Sankalawa,Bungudu,Zamfara
Sankalawa,Bungudu,Zamfara
Sankalawa,Bungudu,Zamfara
Sankalawa,Bungudu,Zamfara
Sankalawa,Bungudu,Zamfara
Sankalawa,Bungudu,Zamfara
Sankalawa,Bungudu,Zamfara
Sankalawa,Bungudu,Zamfara
Sankalawa,Bungudu,Zamfara
Sankalawa,Bungudu,Zamfara
Sankalawa,Bungudu,Zamfara
Sankalawa,Bungudu,Zamfara
Sankalawa,Bungudu,Zamfara
Sankalawa,Bungudu,Zamfara
Sankalawa,Bungudu,Zamfara
Sankalawa,Bungudu,Zamfara
Sankalawa,Bungudu,Zamfara
Sankalawa,Bungudu,Zamfara
Sankalawa,Bungudu,Zamfara
Sankalawa,Bungudu,Zamfara
Sankalawa,Bungudu,Zamfara
Sankalawa,Bungudu,Zamfara
Sankalawa,Bungudu,Zamfara
Sankalawa,Bungudu,Zamfara
Sankalawa,Bungudu,Zamfara
Sankalawa,Bungudu,Zamfara
Samawa,Bungudu,Zamfara
Samawa,Bungudu,Zamfara
Samawa,Bungudu,Zamfara
Samawa,Bungudu,Zamfara
Samawa,Bungudu,Zamfara
Samawa,Bungudu,Zamfara
Samawa,Bungudu,Zamfara
Samawa,Bungudu,Zamfara
Samawa,Bungudu,Zamfara
Samawa,Bungudu,Zamfara
Samawa,Bungudu,Zamfara
Samawa,Bungudu,Zamfara
Samawa,Bungudu,Zamfara
Samawa,Bungudu,Zamfara
Samawa,Bungudu,Zamfara
Samawa,Bungudu,Zamfara
Samawa,Bungudu,Zamfara
Samawa,Bungudu,Zamfara
Samawa,Bungudu,Zamfara
Samawa,Bungudu,Zamfara
Samawa,Bungudu,Zamfara
Samawa,Bungudu,Zamfara
Samawa,Bungudu,Zamfara
Samawa,Bungudu,Zamfara
Samawa,Bungudu,Zamfara
Samawa,Bungudu,Zamfara
Samawa,Bungudu,Zamfara
Samawa,Bungudu,Zamfara
Samawa,Bungudu,Zamfara
Samawa,Bungudu,Zamfara
Samawa,Bungudu,Zamfara
Samawa,Bungudu,Zamfara
Samawa,Bungudu,Zamfara
Samawa,Bungudu,Zamfara
Samawa,Bungudu,Zamfara
Samawa,Bungudu,Zamfara
Samawa,Bungudu,Zamfara
Samawa,Bungudu,Zamfara
Kotorkoshi,Bungudu,Zamfara
Kotorkoshi,Bungudu,Zamfara
Kotorkoshi,Bungudu,Zamfara
Kotorkoshi,Bungudu,Zamfara
Kotorkoshi,Bungudu,Zamfara
Kotorkoshi,Bungudu,Zamfara
Kotorkoshi,Bungudu,Zamfara
Kotorkoshi,Bungudu,Zamfara
Kotorkoshi,Bungudu,Zamfara
Kotorkoshi,Bungudu,Zamfara
Kotorkoshi,Bungudu,Zamfara
Kotorkoshi,Bungudu,Zamfara
Kotorkoshi,Bungudu,Zamfara
Kotorkoshi,Bungudu,Zamfara
Kotorkoshi,Bungudu,Zamfara
Kotorkoshi,Bungudu,Zamfara
Kotorkoshi,Bungudu,Zamfara
Kotorkoshi,Bungudu,Zamfara
Kotorkoshi,Bungudu,Zamfara
Kotorkoshi,Bungudu,Zamfara
Kotorkoshi,Bungudu,Zamfara
Kotorkoshi,Bungudu,Zamfara
Kotorkoshi,Bungudu,Zamfara
Kotorkoshi,Bungudu,Zamfara
Kotorkoshi,Bungudu,Zamfara
Kotorkoshi,Bungudu,Zamfara
Kotorkoshi,Bungudu,Zamfara
Kotorkoshi,Bungudu,Zamfara
Kotorkoshi,Bungudu,Zamfara
Kotorkoshi,Bungudu,Zamfara
Kotorkoshi,Bungudu,Zamfara
Tsafe Central,Tsafe,Zamfara
Tsafe Central,Tsafe,Zamfara
Tsafe Central,Tsafe,Zamfara
Yandoton Daji,Tsafe,Zamfara
Tsafe Central,Tsafe,Zamfara
Yandoton Daji,Tsafe,Zamfara
Tsafe Central,Tsafe,Zamfara
Tsafe Central,Tsafe,Zamfara
Tsafe Central,Tsafe,Zamfara
Chediya,Tsafe,Zamfara
Tsafe Central,Tsafe,Zamfara
Tsafe Central,Tsafe,Zamfara
Chediya,Tsafe,Zamfara
Chediya,Tsafe,Zamfara
Chediya,Tsafe,Zamfara
Yandoton Daji,Tsafe,Zamfara
Chediya,Tsafe,Zamfara
Chediya,Tsafe,Zamfara
Chediya,Tsafe,Zamfara
Yandoton Daji,Tsafe,Zamfara
Yandoton Daji,Tsafe,Zamfara
Yandoton Daji,Tsafe,Zamfara
Yandoton Daji,Tsafe,Zamfara
Yandoton Daji,Tsafe,Zamfara
Yandoton Daji,Tsafe,Zamfara
Yandoton Daji,Tsafe,Zamfara
Yandoton Daji,Tsafe,Zamfara
Yandoton Daji,Tsafe,Zamfara
Yandoton Daji,Tsafe,Zamfara
Kotorkoshi,Bungudu,Zamfara
Kotorkoshi,Bungudu,Zamfara
Mada,Gusau,Zamfara
Mada,Gusau,Zamfara
Mada,Gusau,Zamfara
Yandoton Daji,Tsafe,Zamfara
Yandoton Daji,Tsafe,Zamfara
Yandoton Daji,Tsafe,Zamfara
Yandoton Daji,Tsafe,Zamfara
Yandoton Daji,Tsafe,Zamfara
Yandoton Daji,Tsafe,Zamfara
Mada,Gusau,Zamfara
Yandoton Daji,Tsafe,Zamfara
Mada,Gusau,Zamfara
Mada,Gusau,Zamfara
Mada,Gusau,Zamfara
Mada,Gusau,Zamfara
Mada,Gusau,Zamfara
Chediya,Tsafe,Zamfara
Chediya,Tsafe,Zamfara
Chediya,Tsafe,Zamfara
Chediya,Tsafe,Zamfara
Chediya,Tsafe,Zamfara
Chediya,Tsafe,Zamfara
Chediya,Tsafe,Zamfara
Chediya,Tsafe,Zamfara
Chediya,Tsafe,Zamfara
Chediya,Tsafe,Zamfara
Chediya,Tsafe,Zamfara
Chediya,Tsafe,Zamfara
Chediya,Tsafe,Zamfara
Chediya,Tsafe,Zamfara
Chediya,Tsafe,Zamfara
Chediya,Tsafe,Zamfara
Chediya,Tsafe,Zamfara
Chediya,Tsafe,Zamfara
Chediya,Tsafe,Zamfara
Yanware,Tsafe,Zamfara
Yanware,Tsafe,Zamfara
Yanware,Tsafe,Zamfara
Yanware,Tsafe,Zamfara
Yanware,Tsafe,Zamfara
Yanware,Tsafe,Zamfara
Chediya,Tsafe,Zamfara
Yanware,Tsafe,Zamfara
Yanware,Tsafe,Zamfara
Yanware,Tsafe,Zamfara
Yandoton Daji,Tsafe,Zamfara
Yandoton Daji,Tsafe,Zamfara
Yandoton Daji,Tsafe,Zamfara
Yandoton Daji,Tsafe,Zamfara
Mada,Gusau,Zamfara
Mada,Gusau,Zamfara
Mada,Gusau,Zamfara
Chediya,Tsafe,Zamfara
Mada,Gusau,Zamfara
Mada,Gusau,Zamfara
Mada,Gusau,Zamfara
Mada,Gusau,Zamfara
Mada,Gusau,Zamfara
Mada,Gusau,Zamfara
Yanware,Tsafe,Zamfara
Mada,Gusau,Zamfara
Mada,Gusau,Zamfara
Mada,Gusau,Zamfara
Yanware,Tsafe,Zamfara
Yanware,Tsafe,Zamfara
Mada,Gusau,Zamfara
Mada,Gusau,Zamfara
Mada,Gusau,Zamfara
Mada,Gusau,Zamfara
Mada,Gusau,Zamfara
Mada,Gusau,Zamfara
Kotorkoshi,Bungudu,Zamfara
Kotorkoshi,Bungudu,Zamfara
Kotorkoshi,Bungudu,Zamfara
Kotorkoshi,Bungudu,Zamfara
Kotorkoshi,Bungudu,Zamfara
Kotorkoshi,Bungudu,Zamfara
Mada,Gusau,Zamfara
Kotorkoshi,Bungudu,Zamfara
Kotorkoshi,Bungudu,Zamfara
Kotorkoshi,Bungudu,Zamfara
Kotorkoshi,Bungudu,Zamfara
Kotorkoshi,Bungudu,Zamfara
Kotorkoshi,Bungudu,Zamfara
Ruwan Bore,Gusau,Zamfara
Kotorkoshi,Bungudu,Zamfara
Kotorkoshi,Bungudu,Zamfara
Ruwan Bore,Gusau,Zamfara
Mada,Gusau,Zamfara
Mada,Gusau,Zamfara
Mada,Gusau,Zamfara
Mada,Gusau,Zamfara
Ruwan Bore,Gusau,Zamfara
Ruwan Bore,Gusau,Zamfara
Ruwan Bore,Gusau,Zamfara
Ruwan Bore,Gusau,Zamfara
Ruwan Bore,Gusau,Zamfara
Ruwan Bore,Gusau,Zamfara
Mada,Gusau,Zamfara
Ruwan Bore,Gusau,Zamfara
Kotorkoshi,Bungudu,Zamfara
Kotorkoshi,Bungudu,Zamfara
Wonaka,Gusau,Zamfara
Ruwan Bore,Gusau,Zamfara
Ruwan Bore,Gusau,Zamfara
Ruwan Bore,Gusau,Zamfara
Wonaka,Gusau,Zamfara
Wonaka,Gusau,Zamfara
Wonaka,Gusau,Zamfara
Wonaka,Gusau,Zamfara
Wonaka,Gusau,Zamfara
Wonaka,Gusau,Zamfara
Wonaka,Gusau,Zamfara
Wonaka,Gusau,Zamfara
Wonaka,Gusau,Zamfara
Ruwan Bore,Gusau,Zamfara
Ruwan Bore,Gusau,Zamfara
Ruwan Bore,Gusau,Zamfara
Ruwan Bore,Gusau,Zamfara
Ruwan Bore,Gusau,Zamfara
Ruwan Bore,Gusau,Zamfara
Wonaka,Gusau,Zamfara
Wonaka,Gusau,Zamfara
Mada,Gusau,Zamfara
Mada,Gusau,Zamfara
Ruwan Bore,Gusau,Zamfara
Ruwan Bore,Gusau,Zamfara
Ruwan Bore,Gusau,Zamfara
Mada,Gusau,Zamfara
Ruwan Bore,Gusau,Zamfara
Ruwan Bore,Gusau,Zamfara
Ruwan Bore,Gusau,Zamfara
Ruwan Bore,Gusau,Zamfara
Ruwan Bore,Gusau,Zamfara
Ruwan Bore,Gusau,Zamfara
Ruwan Bore,Gusau,Zamfara
Ruwan Bore,Gusau,Zamfara
Mada,Gusau,Zamfara
Mada,Gusau,Zamfara
Mada,Gusau,Zamfara
Mada,Gusau,Zamfara
Mada,Gusau,Zamfara
Mada,Gusau,Zamfara
Mada,Gusau,Zamfara
Mada,Gusau,Zamfara
Mada,Gusau,Zamfara
Mada,Gusau,Zamfara
